"","pclass","survived","nationality","name","age","fare","cabin","embarked","boat","body","gender"
"277",3,"survived","British","Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",36,15.9,NA,"S","2",NA,"F"
"278",3,"died","British","Coxon, Mr. Daniel",59,7.25,NA,"S",NA,NA,"M"
"279",1,"died","American","Crafton, Mr. John Bertram",NA,26.55,NA,"S",NA,NA,"M"
"280",3,"died","British","Crease, Mr. Ernest James",19,8.1583,NA,"S",NA,NA,"M"
"281",3,"survived","British","Cribb, Miss. Laura Alice",17,16.1,NA,"S","12",NA,"F"
"282",3,"died","British","Cribb, Mr. John Hatfield",44,16.1,NA,"S",NA,NA,"M"
"283",1,"died","American","Crosby, Capt. Edward Gifford",70,71,"B22","S",NA,269,"M"
"284",1,"survived","other","Crosby, Miss. Harriet R",36,71,"B22","S","7",NA,"F"
"285",1,"survived","American","Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",64,26.55,"B26","S","7",NA,"F"
"286",3,"died","other","Culumovic, Mr. Jeso",17,8.6625,NA,"S",NA,NA,"M"
"287",1,"died","American","Cumings, Mr. John Bradley",39,71.2833,"C85","C",NA,NA,"M"
"288",1,"survived","American","Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38,71.2833,"C85","C","4",NA,"F"
"289",2,"died","other","Cunningham, Mr. Alfred Fleming",NA,0,NA,"S",NA,NA,"M"
"290",3,"died","other","Daher, Mr. Shedid",22.5,7.225,NA,"C",NA,9,"M"
"291",3,"survived","other","Dahl, Mr. Karl Edwart",45,8.05,NA,"S","15",NA,"M"
"292",3,"died","other","Dahlberg, Miss. Gerda Ulrika",22,10.5167,NA,"S",NA,NA,"F"
"293",3,"died","other","Dakic, Mr. Branko",19,10.1708,NA,"S",NA,NA,"M"
"294",3,"survived","other","Daly, Miss. Margaret Marcella ""Maggie""",30,6.95,NA,"Q","15",NA,"F"
"295",3,"survived","other","Daly, Mr. Eugene Patrick",29,7.75,NA,"Q","13 15 B",NA,"M"
"296",1,"survived","other","Daly, Mr. Peter Denis",51,26.55,"E17","S","5 9",NA,"M"
"297",3,"died","other","Danbom, Master. Gilbert Sigvard Emanuel",0.3333,14.4,NA,"S",NA,NA,"M"
"298",3,"died","other","Danbom, Mr. Ernst Gilbert",34,14.4,NA,"S",NA,197,"M"
"299",3,"died","other","Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",28,14.4,NA,"S",NA,NA,"F"
"300",1,"survived","other","Daniel, Mr. Robert Williams",27,30.5,NA,"S","3",NA,"M"
"301",1,"survived","other","Daniels, Miss. Sarah",33,151.55,NA,"S","8",NA,"F"
"302",3,"died","other","Danoff, Mr. Yoto",27,7.8958,NA,"S",NA,NA,"M"
"303",3,"died","other","Dantcheff, Mr. Ristiu",25,7.8958,NA,"S",NA,NA,"M"
"304",1,"died","other","Davidson, Mr. Thornton",31,52,"B71","S",NA,NA,"M"
"305",1,"survived","other","Davidson, Mrs. Thornton (Orian Hays)",27,52,"B71","S","3",NA,"F"
"306",2,"survived","British","Davies, Master. John Morgan Jr",8,36.75,NA,"S","14",NA,"M"
"307",3,"died","British","Davies, Mr. Alfred J",24,24.15,NA,"S",NA,NA,"M"
"308",2,"died","British","Davies, Mr. Charles Henry",18,73.5,NA,"S",NA,NA,"M"
"309",3,"died","other","Davies, Mr. Evan",22,8.05,NA,"S",NA,NA,"M"
"310",3,"died","British","Davies, Mr. John Samuel",21,24.15,NA,"S",NA,NA,"M"
"311",3,"died","British","Davies, Mr. Joseph",17,8.05,NA,"S",NA,NA,"M"
"312",2,"survived","British","Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)",48,36.75,NA,"S","14",NA,"F"
"313",2,"survived","British","Davis, Miss. Mary",28,13,NA,"S","13",NA,"F"
"314",3,"died","British","Davison, Mr. Thomas Henry",NA,16.1,NA,"S",NA,NA,"M"
"315",3,"survived","British","Davison, Mrs. Thomas Henry (Mary E Finck)",NA,16.1,NA,"S","16",NA,"F"
"316",2,"died","other","de Brito, Mr. Jose Joaquim",32,13,NA,"S",NA,NA,"M"
"317",3,"survived","American","de Messemaeker, Mr. Guillaume Joseph",36.5,17.4,NA,"S","15",NA,"M"
"318",3,"survived","American","de Messemaeker, Mrs. Guillaume Joseph (Emma)",36,17.4,NA,"S","13",NA,"F"
"319",3,"survived","other","de Mulder, Mr. Theodore",30,9.5,NA,"S","11",NA,"M"
"320",3,"died","other","de Pelsmaeker, Mr. Alfons",16,9.5,NA,"S",NA,NA,"M"
"321",2,"died","British","Deacon, Mr. Percy William",17,73.5,NA,"S",NA,NA,"M"
"322",3,"survived","British","Dean, Master. Bertram Vere",1,20.575,NA,"S","10",NA,"M"
"323",3,"survived","British","Dean, Miss. Elizabeth Gladys ""Millvina""",0.1667,20.575,NA,"S","10",NA,"F"
"324",3,"died","British","Dean, Mr. Bertram Frank",26,20.575,NA,"S",NA,NA,"M"
"325",3,"survived","British","Dean, Mrs. Bertram (Eva Georgetta Light)",33,20.575,NA,"S","10",NA,"F"
"326",2,"died","other","del Carlo, Mr. Sebastiano",29,27.7208,NA,"C",NA,295,"M"
"327",2,"survived","other","del Carlo, Mrs. Sebastiano (Argenia Genovesi)",24,27.7208,NA,"C","12",NA,"F"
"328",3,"died","other","Delalic, Mr. Redjo",25,7.8958,NA,"S",NA,NA,"M"
"329",3,"died","other","Demetri, Mr. Marinko",NA,7.8958,NA,"S",NA,NA,"M"
"330",2,"died","other","Denbury, Mr. Herbert",25,31.5,NA,"S",NA,NA,"M"
"331",3,"died","other","Denkoff, Mr. Mitto",NA,7.8958,NA,"S",NA,NA,"M"
"332",3,"died","British","Dennis, Mr. Samuel",22,7.25,NA,"S",NA,NA,"M"
"333",3,"died","British","Dennis, Mr. William",36,7.25,NA,"S",NA,NA,"M"
"334",3,"survived","other","Devaney, Miss. Margaret Delia",19,7.8792,NA,"Q","C",NA,"F"
"335",2,"died","British","Dibden, Mr. William",18,73.5,NA,"S",NA,NA,"M"
"336",1,"survived","other","Dick, Mr. Albert Adrian",31,57,"B20","S","3",NA,"M"
"337",1,"survived","American","Dick, Mrs. Albert Adrian (Vera Gillespie)",17,57,"B20","S","3",NA,"F"
"338",3,"died","other","Dika, Mr. Mirko",17,7.8958,NA,"S",NA,NA,"M"
"339",3,"died","other","Dimic, Mr. Jovan",42,8.6625,NA,"S",NA,NA,"M"
"340",3,"died","other","Dintcheff, Mr. Valtcho",43,7.8958,NA,"S",NA,NA,"M"
"341",1,"survived","American","Dodge, Dr. Washington",53,81.8583,"A34","S","13",NA,"M"
"342",1,"survived","American","Dodge, Master. Washington",4,81.8583,"A34","S","5",NA,"M"
"343",1,"survived","American","Dodge, Mrs. Washington (Ruth Vidaver)",54,81.8583,"A34","S","5",NA,"F"
"344",3,"died","other","Doharr, Mr. Tannous",NA,7.2292,NA,"C",NA,NA,"M"
"345",2,"survived","British","Doling, Miss. Elsie",18,23,NA,"S",NA,NA,"F"
"346",2,"survived","British","Doling, Mrs. John T (Ada Julia Bone)",34,23,NA,"S",NA,NA,"F"
"347",3,"died","other","Dooley, Mr. Patrick",32,7.75,NA,"Q",NA,NA,"M"
"348",3,"survived","British","Dorking, Mr. Edward Arthur",19,8.05,NA,"S","B",NA,"M"
"349",1,"died","American","Douglas, Mr. Walter Donald",50,106.425,"C86","C",NA,62,"M"
"350",1,"survived","other","Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",27,247.5208,"B58 B60","C","6",NA,"F"
"351",1,"survived","American","Douglas, Mrs. Walter Donald (Mahala Dutton)",48,106.425,"C86","C","2",NA,"F"
"352",3,"survived","American","Dowdell, Miss. Elizabeth",30,12.475,NA,"S","13",NA,"F"
"353",2,"died","other","Downton, Mr. William James",54,26,NA,"S",NA,NA,"M"
"354",3,"died","other","Doyle, Miss. Elizabeth",24,7.75,NA,"Q",NA,NA,"F"
"355",3,"survived","other","Drapkin, Miss. Jennie",23,8.05,NA,"S",NA,NA,"F"
"356",3,"died","other","Drazenoic, Mr. Jozef",33,7.8958,NA,"C",NA,51,"M"
"357",2,"survived","American","Drew, Master. Marshall Brines",8,32.5,NA,"S","10",NA,"M"
"358",2,"died","American","Drew, Mr. James Vivian",42,32.5,NA,"S",NA,NA,"M"
"359",2,"survived","American","Drew, Mrs. James Vivian (Lulu Thorne Christian)",34,32.5,NA,"S","10",NA,"F"
"360",3,"died","other","Duane, Mr. Frank",65,7.75,NA,"Q",NA,NA,"M"
"361",1,"survived","British","Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48,39.6,"A16","C","1",NA,"F"
"362",1,"survived","British","Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",49,56.9292,"A20","C","1",NA,"M"
"363",1,"died","American","Dulles, Mr. William Crothers",39,29.7,"A18","C",NA,133,"M"
"364",3,"survived","other","Duquemin, Mr. Joseph",24,7.55,NA,"S","D",NA,"M"
"365",2,"survived","other","Duran y More, Miss. Asuncion",27,13.8583,NA,"C","12",NA,"F"
"366",2,"survived","other","Duran y More, Miss. Florentina",30,13.8583,NA,"C","12",NA,"F"
"367",3,"died","American","Dyker, Mr. Adolf Fredrik",23,13.9,NA,"S",NA,NA,"M"
"368",3,"survived","American","Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",22,13.9,NA,"S","16",NA,"F"
"369",1,"survived","American","Earnshaw, Mrs. Boulton (Olive Potter)",23,83.1583,"C54","C","7",NA,"F"
"370",3,"died","other","Edvardsson, Mr. Gustaf Hjalmar",18,7.775,NA,"S",NA,NA,"M"
"371",2,"died","British","Eitemiller, Mr. George Floyd",23,13,NA,"S",NA,NA,"M"
"372",3,"died","other","Eklund, Mr. Hans Linus",16,7.775,NA,"S",NA,NA,"M"
"373",3,"died","other","Ekstrom, Mr. Johan",45,6.975,NA,"S",NA,NA,"M"
"374",3,"died","other","Elias, Mr. Dibo",NA,7.225,NA,"C",NA,NA,"M"
"375",3,"died","other","Elias, Mr. Joseph",39,7.2292,NA,"C",NA,NA,"M"
"376",3,"died","other","Elias, Mr. Joseph Jr",17,7.2292,NA,"C",NA,NA,"M"
"377",3,"died","other","Elias, Mr. Tannous",15,7.2292,NA,"C",NA,NA,"M"
"378",3,"died","British","Elsbury, Mr. William James",47,7.25,NA,"S",NA,NA,"M"
"379",3,"survived","American","Emanuel, Miss. Virginia Ethel",5,12.475,NA,"S","13",NA,"F"
"380",3,"died","other","Emir, Mr. Farred Chehab",NA,7.225,NA,"C",NA,NA,"M"
"381",2,"died","other","Enander, Mr. Ingvar",21,13,NA,"S",NA,NA,"M"
"382",1,"survived","other","Endres, Miss. Caroline Louise",38,227.525,"C45","C","4",NA,"F"
"383",1,"survived","American","Eustis, Miss. Elizabeth Mussey",54,78.2667,"D20","C","4",NA,"F"
"384",1,"died","American","Evans, Miss. Edith Corse",36,31.6792,"A29","C",NA,NA,"F"
"385",3,"died","British","Everett, Mr. Thomas James",40.5,15.1,NA,"S",NA,187,"M"
"386",2,"died","other","Fahlstrom, Mr. Arne Jonas",18,13,NA,"S",NA,NA,"M"
"387",3,"died","other","Farrell, Mr. James",40.5,7.75,NA,"Q",NA,68,"M"
"388",1,"died","other","Farthing, Mr. John",NA,221.7792,"C95","S",NA,NA,"M"
"389",2,"died","British","Faunthorpe, Mr. Harry",40,26,NA,"S",NA,286,"M"
"390",2,"survived","other","Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29,26,NA,"S","16",NA,"F"
"391",2,"died","British","Fillbrook, Mr. Joseph Charles",18,10.5,NA,"S",NA,NA,"M"
"392",3,"survived","other","Finoli, Mr. Luigi",NA,7.05,NA,"S","15",NA,"M"
"393",3,"died","other","Fischer, Mr. Eberhard Thelander",18,7.7958,NA,"S",NA,NA,"M"
"394",1,"survived","American","Flegenheim, Mrs. Alfred (Antoinette)",NA,31.6833,NA,"S","7",NA,"F"
"395",3,"died","other","Fleming, Miss. Honora",NA,7.75,NA,"Q",NA,NA,"F"
"396",1,"survived","other","Fleming, Miss. Margaret",NA,110.8833,NA,"C","4",NA,"F"
"397",3,"died","other","Flynn, Mr. James",NA,7.75,NA,"Q",NA,NA,"M"
"398",3,"died","other","Flynn, Mr. John",NA,6.95,NA,"Q",NA,NA,"M"
"399",1,"survived","American","Flynn, Mr. John Irwin (""Irving"")",36,26.3875,"E25","S","5",NA,"M"
"400",3,"died","American","Foley, Mr. Joseph",26,7.8792,NA,"Q",NA,NA,"M"
"401",3,"died","other","Foley, Mr. William",NA,7.75,NA,"Q",NA,NA,"M"
"402",3,"survived","other","Foo, Mr. Choong",NA,56.4958,NA,"S","13",NA,"M"
"403",3,"died","British","Ford, Miss. Doolina Margaret ""Daisy""",21,34.375,NA,"S",NA,NA,"F"
"404",3,"died","British","Ford, Miss. Robina Maggie ""Ruby""",9,34.375,NA,"S",NA,NA,"F"
"405",3,"died","British","Ford, Mr. Arthur",NA,8.05,NA,"S",NA,NA,"M"
"406",3,"died","British","Ford, Mr. Edward Watson",18,34.375,NA,"S",NA,NA,"M"
"407",3,"died","British","Ford, Mr. William Neal",16,34.375,NA,"S",NA,NA,"M"
"408",3,"died","British","Ford, Mrs. Edward (Margaret Ann Watson)",48,34.375,NA,"S",NA,NA,"F"
"409",1,"died","American","Foreman, Mr. Benjamin Laventall",30,27.75,"C111","C",NA,NA,"M"
"410",1,"survived","other","Fortune, Miss. Alice Elizabeth",24,263,"C23 C25 C27","S","10",NA,"F"
"411",1,"survived","other","Fortune, Miss. Ethel Flora",28,263,"C23 C25 C27","S","10",NA,"F"
"412",1,"survived","other","Fortune, Miss. Mabel Helen",23,263,"C23 C25 C27","S","10",NA,"F"
"413",1,"died","other","Fortune, Mr. Charles Alexander",19,263,"C23 C25 C27","S",NA,NA,"M"
"414",1,"died","other","Fortune, Mr. Mark",64,263,"C23 C25 C27","S",NA,NA,"M"
"415",1,"survived","other","Fortune, Mrs. Mark (Mary McDougald)",60,263,"C23 C25 C27","S","10",NA,"F"
"416",3,"died","other","Fox, Mr. Patrick",NA,7.75,NA,"Q",NA,NA,"M"
"417",2,"died","American","Fox, Mr. Stanley Hubert",36,13,NA,"S",NA,236,"M"
"418",1,"survived","British","Francatelli, Miss. Laura Mabel",30,56.9292,"E36","C","1",NA,"F"
"419",3,"died","British","Franklin, Mr. Charles (Charles Fardon)",NA,7.25,NA,"S",NA,NA,"M"
"420",1,"died","British","Franklin, Mr. Thomas Parham",NA,26.55,"D34","S",NA,NA,"M"
"421",1,"survived","American","Frauenthal, Dr. Henry William",50,133.65,NA,"S","5",NA,"M"
"422",1,"survived","American","Frauenthal, Mr. Isaac Gerald",43,27.7208,"D40","C","5",NA,"M"
"423",1,"survived","American","Frauenthal, Mrs. Henry William (Clara Heinsheimer)",NA,133.65,NA,"S","5",NA,"F"
"424",1,"survived","other","Frolicher-Stehli, Mr. Maxmillian",60,79.2,"B41","C","5",NA,"M"
"425",1,"survived","other","Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",48,79.2,"B41","C","5",NA,"F"
"426",1,"survived","other","Frolicher, Miss. Hedwig Margaritha",22,49.5,"B39","C","5",NA,"F"
"427",2,"died","other","Frost, Mr. Anthony Wood ""Archie""",NA,0,NA,"S",NA,NA,"M"
"428",1,"died","British","Fry, Mr. Richard",NA,0,"B102","S",NA,NA,"M"
"429",2,"died","other","Funk, Miss. Annie Clemmer",38,13,NA,"S",NA,NA,"F"
"430",1,"died","British","Futrelle, Mr. Jacques Heath",37,53.1,"C123","S",NA,NA,"M"
"431",1,"survived","British","Futrelle, Mrs. Jacques Heath (Lily May Peel)",35,53.1,"C123","S","D",NA,"F"
"432",2,"died","British","Fynney, Mr. Joseph J",35,26,NA,"S",NA,322,"M"
"433",2,"died","British","Gale, Mr. Harry",38,21,NA,"S",NA,NA,"M"
"434",2,"died","British","Gale, Mr. Shadrach",34,21,NA,"S",NA,NA,"M"
"435",3,"died","other","Gallagher, Mr. Martin",25,7.7417,NA,"Q",NA,NA,"M"
"436",3,"died","British","Garfirth, Mr. John",NA,14.5,NA,"S",NA,NA,"M"
"437",2,"survived","other","Garside, Miss. Ethel",34,13,NA,"S","12",NA,"F"
"438",2,"died","British","Gaskell, Mr. Alfred",16,26,NA,"S",NA,NA,"M"
"439",2,"died","other","Gavey, Mr. Lawrence",26,10.5,NA,"S",NA,NA,"M"
"440",1,"died","British","Gee, Mr. Arthur H",47,38.5,"E63","S",NA,275,"M"
"441",1,"survived","other","Geiger, Miss. Amalie",35,211.5,"C130","C","4",NA,"F"
"442",3,"died","other","Gheorgheff, Mr. Stanio",NA,7.8958,NA,"C",NA,NA,"M"
"443",1,"survived","American","Gibson, Miss. Dorothy Winifred",22,59.4,NA,"C","7",NA,"F"
"444",1,"survived","American","Gibson, Mrs. Leonard (Pauline C Boeson)",45,59.4,NA,"C","7",NA,"F"
"445",1,"died","other","Giglio, Mr. Victor",24,79.2,"B86","C",NA,NA,"M"
"446",2,"died","British","Gilbert, Mr. William",47,10.5,NA,"S",NA,NA,"M"
"447",2,"died","British","Giles, Mr. Edgar",21,11.5,NA,"S",NA,NA,"M"
"448",2,"died","British","Giles, Mr. Frederick Edward",21,11.5,NA,"S",NA,NA,"M"
"449",2,"died","British","Giles, Mr. Ralph",24,13.5,NA,"S",NA,297,"M"
"450",3,"died","other","Gilinski, Mr. Eliezer",22,8.05,NA,"S",NA,47,"M"
"451",2,"died","British","Gill, Mr. John William",24,13,NA,"S",NA,155,"M"
"452",2,"died","other","Gillespie, Mr. William Henry",34,13,NA,"S",NA,NA,"M"
"453",3,"survived","other","Gilnagh, Miss. Katherine ""Katie""",16,7.7333,NA,"Q","16",NA,"F"
"454",2,"died","other","Givard, Mr. Hans Kristensen",30,13,NA,"S",NA,305,"M"
"455",3,"survived","other","Glynn, Miss. Mary Agatha",NA,7.75,NA,"Q","13",NA,"F"
"456",1,"survived","American","Goldenberg, Mr. Samuel L",49,89.1042,"C92","C","5",NA,"M"
"457",1,"survived","other","Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",NA,89.1042,"C92","C","5",NA,"F"
"458",1,"died","American","Goldschmidt, Mr. George B",71,34.6542,"A5","C",NA,NA,"M"
"459",3,"survived","British","Goldsmith, Master. Frank John William ""Frankie""",9,20.525,NA,"S","C D",NA,"M"
"460",3,"died","British","Goldsmith, Mr. Frank John",33,20.525,NA,"S",NA,NA,"M"
"461",3,"died","other","Goldsmith, Mr. Nathan",41,7.85,NA,"S",NA,NA,"M"
"462",3,"survived","British","Goldsmith, Mrs. Frank John (Emily Alice Brown)",31,20.525,NA,"S","C D",NA,"F"
"463",3,"died","other","Goncalves, Mr. Manuel Estanslas",38,7.05,NA,"S",NA,NA,"M"
"464",3,"died","British","Goodwin, Master. Harold Victor",9,46.9,NA,"S",NA,NA,"M"
"465",3,"died","British","Goodwin, Master. Sidney Leonard",1,46.9,NA,"S",NA,NA,"M"
"466",3,"died","British","Goodwin, Master. William Frederick",11,46.9,NA,"S",NA,NA,"M"
"467",3,"died","British","Goodwin, Miss. Jessie Allis",10,46.9,NA,"S",NA,NA,"F"
"468",3,"died","British","Goodwin, Miss. Lillian Amy",16,46.9,NA,"S",NA,NA,"F"
"469",3,"died","British","Goodwin, Mr. Charles Edward",14,46.9,NA,"S",NA,NA,"M"
"470",3,"died","British","Goodwin, Mr. Charles Frederick",40,46.9,NA,"S",NA,NA,"M"
"471",3,"died","British","Goodwin, Mrs. Frederick (Augusta Tyler)",43,46.9,NA,"S",NA,NA,"F"
"472",1,"survived","American","Gracie, Col. Archibald IV",53,28.5,"C51","C","B",NA,"M"
"473",1,"survived","British","Graham, Miss. Margaret Edith",19,30,"B42","S","3",NA,"F"
"474",1,"died","other","Graham, Mr. George Edward",38,153.4625,"C91","S",NA,147,"M"
"475",1,"survived","British","Graham, Mrs. William Thompson (Edith Junkins)",58,153.4625,"C125","S","3",NA,"F"
"476",3,"died","other","Green, Mr. George Henry",51,8.05,NA,"S",NA,NA,"M"
"477",2,"died","other","Greenberg, Mr. Samuel",52,13,NA,"S",NA,19,"M"
"478",1,"survived","American","Greenfield, Mr. William Bertram",23,63.3583,"D10 D12","C","7",NA,"M"
"479",1,"survived","American","Greenfield, Mrs. Leo David (Blanche Strouse)",45,63.3583,"D10 D12","C","7",NA,"F"
"480",3,"died","other","Gronnestad, Mr. Daniel Danielsen",32,8.3625,NA,"S",NA,NA,"M"
"481",3,"died","British","Guest, Mr. Robert",NA,8.05,NA,"S",NA,NA,"M"
"482",1,"died","other","Guggenheim, Mr. Benjamin",46,79.2,"B82 B84","C",NA,NA,"M"
"483",3,"died","other","Gustafsson, Mr. Alfred Ossian",20,9.8458,NA,"S",NA,NA,"M"
"484",3,"died","other","Gustafsson, Mr. Anders Vilhelm",37,7.925,NA,"S",NA,98,"M"
"485",3,"died","other","Gustafsson, Mr. Johan Birger",28,7.925,NA,"S",NA,NA,"M"
"486",3,"died","other","Gustafsson, Mr. Karl Gideon",19,7.775,NA,"S",NA,NA,"M"
"487",3,"died","other","Haas, Miss. Aloisia",24,8.85,NA,"S",NA,NA,"F"
"488",3,"died","other","Hagardon, Miss. Kate",17,7.7333,NA,"Q",NA,NA,"F"
"489",3,"died","other","Hagland, Mr. Ingvald Olai Olsen",NA,19.9667,NA,"S",NA,NA,"M"
"490",3,"died","other","Hagland, Mr. Konrad Mathias Reiersen",NA,19.9667,NA,"S",NA,NA,"M"
"491",3,"died","other","Hakkarainen, Mr. Pekka Pietari",28,15.85,NA,"S",NA,NA,"M"
"492",3,"survived","other","Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24,15.85,NA,"S","15",NA,"F"
"493",2,"died","American","Hale, Mr. Reginald",30,13,NA,"S",NA,75,"M"
"494",2,"survived","American","Hamalainen, Master. Viljo",0.6667,14.5,NA,"S","4",NA,"M"
"495",2,"survived","American","Hamalainen, Mrs. William (Anna)",24,14.5,NA,"S","4",NA,"F"
"496",3,"died","other","Hampe, Mr. Leon",20,9.5,NA,"S",NA,NA,"M"
"497",3,"died","other","Hanna, Mr. Mansour",23.5,7.2292,NA,"C",NA,188,"M"
"498",3,"died","American","Hansen, Mr. Claus Peter",41,14.1083,NA,"S",NA,NA,"M"
"499",3,"died","other","Hansen, Mr. Henrik Juul",26,7.8542,NA,"S",NA,NA,"M"
"500",3,"died","other","Hansen, Mr. Henry Damsgaard",21,7.8542,NA,"S",NA,69,"M"
"501",3,"survived","American","Hansen, Mrs. Claus Peter (Jennie L Howard)",45,14.1083,NA,"S","11",NA,"F"
"502",2,"died","American","Harbeck, Mr. William H",44,13,NA,"S",NA,35,"M"
"503",1,"survived","American","Harder, Mr. George Achilles",25,55.4417,"E50","C","5",NA,"M"
"504",1,"survived","American","Harder, Mrs. George Achilles (Dorothy Annan)",25,55.4417,"E50","C","5",NA,"F"
"505",3,"died","British","Harknett, Miss. Alice Phoebe",NA,7.55,NA,"S",NA,NA,"F"
"506",3,"died","other","Harmer, Mr. Abraham (David Lishin)",25,7.25,NA,"S","B",NA,"M"
"507",2,"survived","British","Harper, Miss. Annie Jessie ""Nina""",6,33,NA,"S","11",NA,"F"
"508",1,"survived","American","Harper, Mr. Henry Sleeper",48,76.7292,"D33","C","3",NA,"M"
"509",1,"survived","American","Harper, Mrs. Henry Sleeper (Myna Haxtun)",49,76.7292,"D33","C","3",NA,"F"
"510",2,"died","British","Harper, Rev. John",28,33,NA,"S",NA,NA,"M"
"511",1,"died","other","Harrington, Mr. Charles H",NA,42.4,NA,"S",NA,NA,"M"
"512",2,"survived","British","Harris, Mr. George",62,10.5,NA,"S","15",NA,"M"
"513",1,"died","American","Harris, Mr. Henry Birkhardt",45,83.475,"C83","S",NA,NA,"M"
"514",2,"died","British","Harris, Mr. Walter",30,10.5,NA,"S",NA,NA,"M"
"515",1,"survived","American","Harris, Mrs. Henry Birkhardt (Irene Wallach)",35,83.475,"C83","S","D",NA,"F"
"516",1,"died","British","Harrison, Mr. William",40,0,"B94","S",NA,110,"M"
"517",2,"survived","British","Hart, Miss. Eva Miriam",7,26.25,NA,"S","14",NA,"F"
"518",2,"died","British","Hart, Mr. Benjamin",43,26.25,NA,"S",NA,NA,"M"
"519",3,"died","other","Hart, Mr. Henry",NA,6.8583,NA,"Q",NA,NA,"M"
"520",2,"survived","British","Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45,26.25,NA,"S","14",NA,"F"
"521",1,"survived","other","Hassab, Mr. Hammad",27,76.7292,"D49","C","3",NA,"M"
"522",3,"died","other","Hassan, Mr. Houssein G N",11,18.7875,NA,"C",NA,NA,"M"
"523",1,"survived","other","Hawksford, Mr. Walter James",NA,30,"D45","S","3",NA,"M"
"524",1,"survived","American","Hays, Miss. Margaret Bechstein",24,83.1583,"C54","C","7",NA,"F"
"525",1,"died","other","Hays, Mr. Charles Melville",55,93.5,"B69","S",NA,307,"M"
"526",1,"survived","other","Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52,93.5,"B69","S","3",NA,"F"
"527",1,"died","other","Head, Mr. Christopher",42,42.5,"B11","S",NA,NA,"M"
"528",3,"survived","other","Healy, Miss. Hanora ""Nora""",NA,7.75,NA,"Q","16",NA,"F"
"529",3,"survived","other","Hedman, Mr. Oskar Arvid",27,6.975,NA,"S","15",NA,"M"
"530",3,"survived","other","Hee, Mr. Ling",NA,56.4958,NA,"S","C",NA,"M"
"531",3,"died","other","Hegarty, Miss. Hanora ""Nora""",18,6.75,NA,"Q",NA,NA,"F"
"532",3,"survived","other","Heikkinen, Miss. Laina",26,7.925,NA,"S",NA,NA,"F"
"533",3,"died","other","Heininen, Miss. Wendla Maria",23,7.925,NA,"S",NA,NA,"F"
"534",3,"survived","other","Hellstrom, Miss. Hilda Maria",22,8.9625,NA,"S","C",NA,"F"
"535",3,"died","other","Hendekovic, Mr. Ignjac",28,7.8958,NA,"S",NA,306,"M"
"536",3,"died","other","Henriksson, Miss. Jenny Lovisa",28,7.775,NA,"S",NA,NA,"F"
"537",3,"died","other","Henry, Miss. Delia",NA,7.75,NA,"Q",NA,NA,"F"
"538",2,"survived","other","Herman, Miss. Alice",24,65,NA,"S","9",NA,"F"
"539",2,"survived","other","Herman, Miss. Kate",24,65,NA,"S","9",NA,"F"
"540",2,"died","British","Herman, Mr. Samuel",49,65,NA,"S",NA,NA,"M"
"541",2,"survived","other","Herman, Mrs. Samuel (Jane Laver)",48,65,NA,"S","9",NA,"F"
"542",2,"survived","other","Hewlett, Mrs. (Mary D Kingcome)",55,16,NA,"S","13",NA,"F"
"543",2,"died","British","Hickman, Mr. Leonard Mark",24,73.5,NA,"S",NA,NA,"M"
"544",2,"died","British","Hickman, Mr. Lewis",32,73.5,NA,"S",NA,256,"M"
"545",2,"died","British","Hickman, Mr. Stanley George",21,73.5,NA,"S",NA,NA,"M"
"546",1,"died","American","Hilliard, Mr. Herbert Henry",NA,51.8625,"E46","S",NA,NA,"M"
"547",2,"died","other","Hiltunen, Miss. Marta",18,13,NA,"S",NA,NA,"F"
"548",1,"died","British","Hipkins, Mr. William Edward",55,50,"C39","S",NA,NA,"M"
"549",1,"survived","American","Hippach, Miss. Jean Gertrude",16,57.9792,"B18","C","4",NA,"F"
"550",1,"survived","American","Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44,57.9792,"B18","C","4",NA,"F"
"551",3,"survived","other","Hirvonen, Miss. Hildur E",2,12.2875,NA,"S","15",NA,"F"
"552",3,"survived","other","Hirvonen, Mrs. Alexander (Helga E Lindqvist)",22,12.2875,NA,"S","15",NA,"F"
"553",2,"survived","British","Hocking, Miss. Ellen ""Nellie""",20,23,NA,"S","4",NA,"F"
"554",2,"died","British","Hocking, Mr. Richard George",23,11.5,NA,"S",NA,NA,"M"
